ID,house,TransmGSM,Plot,Arrival_date,Country,Overlap,Study_area,Feeding,Type,Time_year,Frequency,Type_food,Quantity,RK_observed,Other_species,Address,Comments
23,4,BD319F1C,Control,22/03/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"42 Chemin des Eperleires, Villariaz",
24,1,BD319F1C,Settlement,12/03/2021,SwitzerlandFR,SWIK12 (S),Outside,No,,,,,,,,"11 En Printanna, Rue",
25,#4 SWIK12 (S),BD319F1C,Settlement,13/03/2021,SwitzerlandFR,SWIK12 (S),Outside,No,,,,,,,,"4 route du charrotton, Rue",
26,2,BD319F1C,Settlement,15/03/2021,SwitzerlandFR,KISA25 (C),Outside,No,,,,,,,,"20 Chemin du Jura, Vauderens",
27,3,BD319F1C,Settlement,12/03/2021,SwitzerlandFR,KISA25 (C),Outside,No,,,,,,,,"26 Route de l'Union, Rue",
28,#1 KISA25 (C) ,BD319F1C,Settlement,12/03/2021,SwitzerlandFR,KISA25 (C),Outside,No,,,,,,,,"4 Route de Vauderens, Blessens",
29,#2 KISA25 (C),BD319F1C,Settlement,12/03/2021,SwitzerlandFR,KISA25 (C),Outside,No,,,,,,,,"22 Les planches, Blessens","Compost, chicken explotation in front, sometimes killed by goshawk, maybe RK take the leftovers"
30,#4 KISA25 (C),BD319F1C,Settlement,12/03/2021,SwitzerlandFR,KISA25 (C),Outside,No,,,,,,,,"30 Chemin du clos, Mossel",
32,1,KISA23,Control,12/05/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"70 Chemin de la croix, Vuamarens",
33,1,KISA23,Control,12/05/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"67 Chemin de la croix, Vuamarens",
34,2,KISA23,Control,12/05/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"30 Chemin des Rochettes, Morlens",Gave once butcher waste but that's it so not considered a feeding site
35,2,KISA23,Control,12/05/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"7 Chemin des Rochettes, Morlens",
37,3,KISA23,Control,12/05/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"155 Route de Moudon, Vuamarens",
39,4,KISA23,Control,12/05/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"93 Route du Saugey, Esmonts",
40,4,KISA23,Control,12/05/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"House in front 93 Route du Saugey, Esmonts",
41,1,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Richterwil 127, Bösingen",
42,1,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Richterwil 814, Bösingen",Shit pile has sometimes placenta on it
43,2,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Uttewil 177, Bösingen",They think the presence of the kites is due to the mild climat and that they thus start working in the fields already in February
44,2,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Uttewil 172, Bösingen",
45,3,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Filistorf 2, Schmitten",
46,3,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Filistorf 10, Schmitten",
47,4,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Friesenheid 820, Schmitten",
48,4,KISA23,Settlement,9/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Friesenheid 166, Schmitten",
49,1,KISA25,Control,8/03/2019,SwitzerlandFR,BD319F1C (S),Outside,No,,,,,,,,"4 Route de Vauderens, Blessens",
50,#3 BD319F1C (S),KISA25,Control,8/03/2019,SwitzerlandFR,BD319F1C (S),Outside,No,,,,,,,,"26 Route de l'Union, Rue",
51,#4 SWIK12 (S),KISA25,Control,8/03/2019,SwitzerlandFR,BD319F1C (S); SWIK12 (S),Outside,No,,,,,,,,"4 route du charrotton, Rue",
52,2,KISA25,Control,8/03/2019,SwitzerlandFR,BD319F1C (S),Outside,No,,,,,,,,"22 Les planches, Blessens","Compost, chicken explotation in front, sometimes killed by goshawk, maybe RK take the leftovers"
53,#2 BD319F1C (S),KISA25,Control,8/03/2019,SwitzerlandFR,BD319F1C (S),Outside,No,,,,,,,,"20 Chemin du Jura, Vauderens",
54,3,KISA25,Control,8/03/2019,SwitzerlandFR,X,Outside,No,,,,,,,,"30 Route d'Arlens, Blessens",
56,4,KISA25,Control,8/03/2019,SwitzerlandFR,BD319F1C (S),Outside,No,,,,,,,,"30 Chemin du clos, Mossel",
57,1,KISA25,Settlement,23/03/2021,SwitzerlandDE,SWIK23 (S),Inside,No,,,,,,,,"Tromoos 1, St. Ursen",
58,#4 SWIK23 (S),KISA25,Settlement,23/03/2021,SwitzerlandDE,SWIK23 (S),Inside,No,,,,,,,,"Rotkruz 121, 1718 Rechthalten",
63,4,KISA25,Settlement,23/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Dorfmatta 4, 1719 Brünisried",
64,4,KISA25,Settlement,23/03/2021,SwitzerlandDE,X,Inside,No,,,,,,,,"Dorfmatta 15, 1719 Brünisried","Neighbour gives: Oberlandstrasse 28, Brünisried, call (german speaking person): 0793038749 => doesn't answer"
65,1,KIWS14,Control,1/05/2018,SwitzerlandDE,KIWS59 (S),Inside,No,,,,,,,,"Auriedweg 32, Kleinbösingen",
66,#1 KIWS59 (S) ,KIWS14,Control,1/05/2018,SwitzerlandDE,KIWS59 (S),Inside,No,,,,,,,,"Im Holz 34, Kleinbösingen","Shit pile, only crows"
67,2,KIWS14,Control,1/05/2018,SwitzerlandDE,X,Inside,No,,,,,,,,"Riesenaustrasse 20, 3179 Kriechenwil","Said that Riesenaustrasse 30, 3179 Kriechenwil gives, call (german speaking person): 0317477265 => doesn't answer"
68,3,KIWS14,Control,1/05/2018,SwitzerlandDE,KIWS59 (S),Inside,No,,,,,,,,"Breitestrasse 51, Kleinbösingen","Compst, only crows"
69,#2 KIWS59 (S) ,KIWS14,Control,1/05/2018,SwitzerlandDE,KIWS59 (S),Inside,No,,,,,,,,"Lindeweg 1, Kleinbösingen","Compost heap, only crows"
70,#3 KIWS59 (S) ,KIWS14,Control,1/05/2018,SwitzerlandDE,KIWS59 (S),Inside,No,,,,,,,,"Längerstrasse 95, 3213 Kleinbösingen","Compost, only crows"
71,#4 KIWS59 (S) ,KIWS14,Control,1/05/2018,SwitzerlandDE,KIWS59 (S),Inside,No,,,,,,,,"Grueneburg 51, Kleinbösingen",
74,#1 SWIK84 (S),KIWS14,Settlement,1/03/2020,SwitzerlandFR,SWIK84 (S),Inside,No,,,,,,,,"2 Coppet, Cordast",
75,#1 SWIK84 (S),KIWS14,Settlement,1/03/2020,SwitzerlandFR,SWIK84 (S),Inside,No,,,,,,,,"Fineta, Cordast",
76,2,KIWS14,Settlement,1/03/2020,SwitzerlandFR,KIWS48 (S),Inside,No,,,,,,,,"3 Grand-Vivy, Barberêche",Sweet woman
77,#1 KIWS48 (S),KIWS14,Settlement,1/03/2020,SwitzerlandFR,SWIK84 (S); KIWS48 (S),Inside,No,,,,,,,,"11 Petit-Vivy, Barberêche",
78,#3 SWIK84 (S),KIWS14,Settlement,1/03/2020,SwitzerlandFR,SWIK84 (S); KIWS48 (S),Inside,No,,,,,,,,"10 Vers l'Eglise, Barberêche",
85,2,KIWS23,Control,25/03/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Steinackerureg 4,, 1712 Tafers",
86,2,KIWS23,Control,25/03/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Rohr 18, 1712 Tafers","Several houses putting compost at this farm, only crows and foxes observed"
88,3,KIWS23,Control,25/03/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Juchholzstrasse , &712 Tafers",
89,4,KIWS23,Control,25/03/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Stockera 41, 1712 Tafers",
91,1,KIWS23,Settlement,24/02/2021,SwitzerlandFR,X,Outside,No,,,,,,,,"151 Route de la Gérine, Marly","Biogaz station not far, call: +41 26 402 10 20, seen RK flying above"
93,1,KIWS23,Settlement,24/02/2021,SwitzerlandFR,X,Outside,No,,,,,,,,"201 Route de la Gérine, Marly",
94,2,KIWS23,Settlement,24/02/2021,SwitzerlandFR,X,Inside,No,,,,,,,,"7 Rue des Mouettes, Marly",
97,3,KIWS23,Settlement,24/02/2021,SwitzerlandFR,X,Outside,No,,,,,,,,"1 Route du Pâquier, Marly",
98,4,KIWS23,Settlement,24/02/2021,SwitzerlandFR,X,Inside,No,,,,,,,,"10 Chemin de Vuisserens, Marly",
99,4,KIWS23,Settlement,24/02/2021,SwitzerlandFR,X,Inside,No,,,,,,,,"90 Route de Chésalles, Marly",Neighboor farther neither
100,1,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Les vies Fourchies 1, 2828 Montsevellier",
101,1,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Le Champre 1, 2828 Montsevellier",
102,2,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Hof Tvegberg 44, 4229 Beinwil",
103,2,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Le Greierlet 1, 2828 Montsevellier",
104,3,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,Near Mervelier 2828,
105,3,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Bergerie de Grandmont, 2828 Mervellier",
106,4,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"La neuve vie 1, 2827 Beinwil",
107,4,KIWS48,Control,5/07/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Rotmättli 46, 2827 Beinwil",
108,1,KIWS48,Settlement,22/02/2020,SwitzerlandFR,SWIK84 (S); KIWS14 (S),Inside,No,,,,,,,,"11 Petit-Vivy, Barberêche",
109,#3 SWIK84 (S),KIWS48,Settlement,22/02/2020,SwitzerlandFR,SWIK84 (S); KIWS14 (S),Inside,No,,,,,,,,"10 Vers l'Eglise, Barberêche",
114,4,KIWS48,Settlement,22/02/2020,SwitzerlandDE,X,Inside,No,,,,,,,,"Bonnstrasse 4, 3186 Düdingen",
115,4,KIWS48,Settlement,22/02/2020,SwitzerlandDE,X,Inside,No,,,,,,,,"Bonnstrasse 41, 3186 Düdingen",
116,1,KIWS53,Control,27/05/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"7 Petit Martel, Petit-Martel","SANDOZ Claudine, 11 Vers-Chez-Les-Brandt (just outside of centroid): 032 937 13 31: not answering (If doesn't answer: Nicolas Jeanneret, president of the commune Le Joratel: 079 240 63 45); Houses around absent or not interested in answering"
117,2,KIWS53,Control,27/05/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"5 Le Pré Sec, Brot-Plamboz",A lot of rodents since 3 years
118,2,KIWS53,Control,27/05/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"7 Le Pré Sec, Brot-Plamboz (Ferme)",
120,3,KIWS53,Control,27/05/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"32 Les Petits Ponts, Brot-Plamboz",Seen RK (10) flying above compostière; SANDOZ: leftovers from the butcher for his dogs and when gets bad puts them in the forest
122,4,KIWS53,Control,27/05/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"17 Les Petits-Ponts, Brot-Plamboz",SANDOZ: dangerous people
123,1,KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S),Inside,No,,,,,,,,"Wolperwil 7, 1717 St. Ursen",
124,2,KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S),Inside,No,,,,,,,,"Medewil 4, 1717 St. Ursen",
125,3,KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S); SWIK23 (S),Inside,No,,,,,,,,"Baletswil 3, 1717 St. Ursen",
126,4,KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S); SWIK23 (S),Inside,No,,,,,,,,"Hinterhalta 1, 1717 St. Ursen",
127,#1 WSIK81 (S),KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S),Inside,No,,,,,,,,"Beniwil 33, 1715 Alterswil",
128,#2 WSIK81 (S),KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S),Inside,No,,,,,,,,"Unterdorfstrasse 7, 1715 Alterswil",
129,#3 WSIK81 (S),KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S),Inside,No,,,,,,,,"Hasli 1, 1717 St. Ursen",
130,#4 WSIK81 (S),KIWS53,Settlement,17/04/2020,SwitzerlandDE,WSIK81 (S),Inside,No,,,,,,,,"Aeschlenberg 4, 1717 St.Ursen",
132,1,KIWS59,Control,10/06/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"20 Martel-Dernier, Les Ponts de Martel",
133,1,KIWS59,Control,10/06/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"18 Martel-Dernier, Les Ponts de Martel","SANDOZ: do not go alone, dangerous dogs and people, even police afraid"
135,2,KIWS59,Control,10/06/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"9 Martel-Dernier, Les Ponts de Martel",
137,3,KIWS59,Control,10/06/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"5 Le Crêt-Pellaton, Travers",SANDOZ
138,4,KIWS59,Control,10/06/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"1 Les Emposieux, Travers","SANDOZ , Nicolas Jeanneret"
139,4,KIWS59,Control,10/06/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"2 Les Emposieux, Travers",
140,1,KIWS59,Settlement,7/03/2019,SwitzerlandDE,KIWS14 (C),Inside,No,,,,,,,,"Im Holz 34, Kleinbösingen","Shit pile, only crows"
141,#1 KIWS14 (C) ,KIWS59,Settlement,7/03/2019,SwitzerlandDE,KIWS14 (C),Inside,No,,,,,,,,"Auriedweg 32, Kleinbösingen",
142,2,KIWS59,Settlement,7/03/2019,SwitzerlandDE,KIWS14 (C),Inside,No,,,,,,,,"Lindeweg 1, Kleinbösingen","Compost heap, only crows"
143,3,KIWS59,Settlement,7/03/2019,SwitzerlandDE,KIWS14 (C),Inside,No,,,,,,,,"Längerstrasse 95, 3213 Kleinbösingen","Compost, only crows"
144,#3 KIWS14 (C) ,KIWS59,Settlement,7/03/2019,SwitzerlandDE,KIWS14 (C),Inside,No,,,,,,,,"Breitestrasse 51, Kleinbösingen","Compst, only crows"
145,4,KIWS59,Settlement,7/03/2019,SwitzerlandDE,KIWS14 (C),Inside,No,,,,,,,,"Grueneburg 51, Kleinbösingen",
147,5,KIWS59,Settlement,7/03/2019,SwitzerlandDE,X,Inside,No,,,,,,,,Kleingurmels,
148,1,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Alp 114, 3533 Bowil",Dead calf and pigglings once a year and saw RK feeding on it (>1kg)
149,1,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Schwendimatt 107, 3533 Bowil",
150,2,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Schüpbach 76, 3533 Bowil",
151,2,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Spitzachen 203A, 3538 Röthenbach in Emmental",Fed them once
152,3,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Thunersberg 158, 3533 Bowil",
153,3,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Bergli 160, 3533 Bowil",
154,4,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Heimenrütti 192, 3538 Röthenbach in Emmental",
155,4,KIWS83,Control,24/06/2018,SwitzerlandDE,X,Outside,No,,,,,,,,"Heimenrütti 228, 3538 Röthenbach in Emmental",
156,1,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,
157,1,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,
158,2,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,"Compost, seen RK flying close"
159,2,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,
160,3,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,
161,3,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,
162,4,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,
163,4,KIWS83,Settlement,24/03/2019,France,X,Outside,No,,,,,,,,Reyvroz,
164,1,SWIK03,Control,9/05/2016,SwitzerlandDE,X,Outside,No,,,,,,,,"Krenzmatt 276, 5063 Wölflinswil",
165,1,SWIK03,Control,9/05/2016,SwitzerlandDE,X,Outside,No,,,,,,,,"Hüntlesten 124, 5063 Wölflinswil",
166,2,SWIK03,Control,9/05/2016,SwitzerlandDE,X,Outside,No,,,,,,,,"Ringlatt 292, 5063 Wölflinswil",
169,3,SWIK03,Control,9/05/2016,SwitzerlandDE,X,Outside,No,,,,,,,,"Altenberg 307 (second family), 5063 Wölflinswil",
170,4,SWIK03,Control,9/05/2016,SwitzerlandDE,X,Outside,No,,,,,,,,"Talweg 165, 5063 Wölflinswil",
171,4,SWIK03,Control,9/05/2016,SwitzerlandDE,X,Outside,No,,,,,,,,"Oeligass 92, 5063 Wölflinswil",
173,1,SWIK03,Settlement,21/03/2019,SwitzerlandFR,X,Outside,No,,,,,,,,"51 route de la neirigue, La Neirigue",
174,1,SWIK03,Settlement,21/03/2019,SwitzerlandFR,X,Outside,No,,,,,,,,"56 route de la neirigue, La Neirigue",
175,2,SWIK03,Settlement,21/03/2019,SwitzerlandFR,X,Outside,No,,,,,,,,"6 impasse montaubry, Grangettes",Neither the neighbour
176,2,SWIK03,Settlement,21/03/2019,SwitzerlandFR,X,Outside,No,,,,,,,,"2 route de massonnens, Grangettes",
177,3,SWIK03,Settlement,21/03/2019,SwitzerlandFR,X,Outside,No,,,,,,,,"25 route de la neirigue, Villariaz","A lot of rodents, cyclic"
178,4,SWIK03,Settlement,21/03/2019,SwitzerlandFR,X,Outside,No,,,,,,,,"9 Impasse du château, Grangettes",
180,1,SWIK12,Control,30/03/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"Domaine de Seyve: 12 la pallaz, Seigneux","Dog found bones in the road above, not seen RK"
181,1,SWIK12,Control,30/03/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"26 la pallaz, Seigneux",
182,1,SWIK12,Control,30/03/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"11 la pallaz, Seigneux",Treize canton maybe someone: 2 houses no
183,2,SWIK12,Control,30/03/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"3 en copet, Seigneux",
185,3,SWIK12,Control,30/03/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"6 les granges, Dompierre",A lot of meat waste in the forest but haven't seen RK
186,3,SWIK12,Control,30/03/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"11 les granges, Dompierre",
187,4,SWIK12,Control,30/03/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"2 route de Dompierre, Villars-Bramard",Neighbours above and next door neither
188,1,SWIK12,Settlement,2/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"45 route des echelettes, Rue",
189,1,SWIK12,Settlement,2/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"21 chemin de la véréna, Montet",
191,2,SWIK12,Settlement,2/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"10 au cuard, Rue",Very environmental man that plants trees for biodiversity
192,3,SWIK12,Settlement,2/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"En champ-collon, Rue",RK don't come close to houses
193,3,SWIK12,Settlement,2/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"Chemin des chutes, Rue",2 houses
194,4,SWIK12,Settlement,2/04/2018,SwitzerlandFR,BD319F1C (S); KISA25 (C),Outside,No,,,,,,,,"4 route du charrotton, Rue",
195,#1 BD319F1C (S),SWIK12,Settlement,2/04/2018,SwitzerlandFR,BD319F1C (S),Outside,No,,,,,,,,"11 En Printanna, Rue",
196,1,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Close to Montbuzat,
197,1,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Close to Montbuzat,
198,2,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Close to Montbuzat,
199,2,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Close to Montbuzat,
200,3,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Close to Montbuzat,Invasion of voles
201,3,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Close to Montbuzat,
202,4,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Montbuzat,Compost in the open
203,4,SWIK16,Control,19/07/2017,France,X,Outside,No,,,,,,,,Montbuzat,Food scraps for the chickens in the open
204,1,SWIK16,Settlement,14/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"13 route d'orzens, Oppens",
206,2,SWIK16,Settlement,14/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"10 la tuilière, Oppens",
207,2,SWIK16,Settlement,14/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"20 la tuilière, Oppens",
208,3,SWIK16,Settlement,14/04/2018,SwitzerlandFR,X,Outside,No,,,,,,,,"6 route d'oppens, Pailly",
212,1,SWIK23,Control,26/07/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"37 Sur-Carro, Corpataux-Magnedens",
213,1,SWIK23,Control,26/07/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"41 Sur-Carro, Corpataux-Magnedens",
214,2,SWIK23,Control,26/07/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"31 Impasse Vers-Chavaille, Corpataux-Magnedens",
215,2,SWIK23,Control,26/07/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"2 Vers-Chavaille, Corpataux-Magnedens",
216,3,SWIK23,Control,26/07/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"51 Routes des chênes, Corpataux-Magnedens",
217,3,SWIK23,Control,26/07/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"42 Routes des chênes, Corpataux-Magnedens",A lot of rodents
218,4,SWIK23,Control,26/07/2017,SwitzerlandFR,X,Outside,No,,,,,,,,"190 Route d'Illens, Rossens","Very suitable habitat: hunting forbidden, Sarine river protected area. Only house in the area; maybe piggery gives leftovers away (couldn't find it)"
219,1,SWIK23,Settlement,28/02/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Tanneried 59, 1718 Rechthalten",
220,2,SWIK23,Settlement,28/02/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Allelüfte 1, 1718 Rechthalten",
221,3,SWIK23,Settlement,28/02/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Haltli 45, 1718 Rechthalten",
222,3,SWIK23,Settlement,28/02/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Haltli 41, 1718 Rechthalten",
223,4,SWIK23,Settlement,28/02/2019,SwitzerlandDE,X,Inside,No,,,,,,,,"Rotkruz 121, 1718 Rechthalten",
224,#1 KISA25 (S) ,SWIK23,Settlement,28/02/2019,SwitzerlandDE,KISA25 (S),Inside,No,,,,,,,,"Tromoos 1, St. Ursen",
226,#3 KIWS53 (S),SWIK23,Settlement,28/02/2019,SwitzerlandDE,KIWS53 (S),Inside,No,,,,,,,,"Baletswil 3, 1717 St. Ursen",
227,#4 KIWS53 (S),SWIK23,Settlement,28/02/2019,SwitzerlandDE,KIWS53 (S),Inside,No,,,,,,,,"Hinterhalta 1, 1717 St. Ursen",
228,1,SWIK25,Control,8/06/2016,SwitzerlandFR,SWIK33 (C),Outside,No,,,,,,,,"2 Moulin de Prassasson, Arconciel",A lot of rodents these past years; Now feeds and has seen RK but not in 2016
230,2,SWIK25,Control,8/06/2016,SwitzerlandFR,SWIK33 (C),Outside,No,,,,,,,,"1 Au Village, Senèdes",A lot of people give food to the cats
236,4,SWIK25,Control,8/06/2016,SwitzerlandFR,SWIK33 (C),Outside,No,,,,,,,,"45 Chemin du Marais, Treyvaux",
237,#4 SWIK33 (C),SWIK25,Control,8/06/2016,SwitzerlandFR,SWIK33 (C),Outside,No,,,,,,,,"5 La Longeraie, Treyvaux",
238,1,SWIK25,Settlement,4/04/2017,SwitzerlandDE,X,Inside,No,,,,,,,,"Guglenberg 2, 1713 St. Antoni",
239,1,SWIK25,Settlement,4/04/2017,SwitzerlandDE,X,Inside,No,,,,,,,,"Guglenberg 1, 1713 St. Antoni",
242,3,SWIK25,Settlement,4/04/2017,SwitzerlandDE,X,Inside,No,,,,,,,,"Tannmatt 86, 1713 St. Antoni",
243,3,SWIK25,Settlement,4/04/2017,SwitzerlandDE,X,Inside,No,,,,,,,,"Obermonten 90, 1713 St. Antoni",
244,4,SWIK25,Settlement,4/04/2017,SwitzerlandDE,X,Inside,No,,,,,,,,"Krommen 32, 1713 St. Antoni",
